
Join on the column named 3
/home/18643_team/edwin_stuff/18643_project/tables/out_less_32_unique.txt xdim: 1, ydim: 51
TABLE 1
====================
        3 
====================
776123796 
168210540 
155409623 
685948342 
1973269333 
151692331 
1447086805 
 78671411 
223036787 
728598066 
 33806622 
141893427 
355208215 
114801433 
690881198 
138731820 
1795050929 
212741261 
296738292 
1594394213 
168006172 
1999742507 
175834199 
106555121 
246272594 
161026556 
171404862 
 13702724 
2137571946 
441866189 
1346898367 
190175089 
1041921086 
577894690 
170648106 
130143451 
 95119067 
1019601434 
259021192 
103857286 
1953263012 
1910089197 
257438331 
361021573 
 51881900 
154967864 
 19651323 
181293971 
1546632627 
2064477206 

/home/18643_team/edwin_stuff/18643_project/tables/out_less_32.txt xdim: 8, ydim: 101
TABLE 2
====================
        1         2         3         4         5         6         7         8 
 77906437  61982416 103857286  70055464 141447188  51757354 233246703 150350871 
193686884 210375873 168210540 267145341 192566919  99620502 157670362 114951911 
 63915003 200144036 141893427  70055464 237619649 110551496 195653702  20893687 
240025972 200144036 246272594 233810545 155193115  99620502 199132027  76526038 
119682303 200144036 141893427 218196376  26575330 110551496  85206387  41467309 
207327090 115000662 161026556 237006135 257729423  94982009  72726182 227071566 
131955652 210375873 171404862 255761413  14777772 135702231  16438395  97462332 
123590168  54473832 212741261 260113239 119465050  11830193  88827381 173777124 
202503899  54473832 212741261 211718565 222770659 224187687 180953860 249815488 
  5489924 115000662  33806622  76385941 108029724 192002551 228352048 191124101 
 62158692  54473832 106555121 232533711  82613657  94982009 111352151 193568013 
 56383340 210375873 168210540 242876626  12130452  13269043 123554385 258574076 
 24285245 210375873 171404862  54611443  77876673 194848274 245027300 257501319 
161279035 200144036 246272594  67605095 112749351 194848274 160448322 143133321 
207322887  54473832 212741261 123340549  81818632 256244483  17699086  73623755 
198804365 210375873 168210540 246199936  39829735  19052129  35727616  51128958 
117509263 200144036 246272594 209253630 246539070  94982009   3956801 189277116 
135452657 115000662  33806622  51561615  77876673 149597669 182644664 100807026 
 53933396  54473832 181293971  37802606 222770659 252013187 141736406 229206120 
 64015862 115000662  33806622 121689166 120878539  11830193 198367853  38762153 
105458372 210375873 190175089 228757618 100254891  94982009  80488978 229734848 
 82315506 200144036 141893427 130583741 192566919  51757354  94114163 138263536 
 66079035 200144036 246272594 169555235 166805541  94982009 222658948 209360748 
156607342  54473832  19651323  28485613 192566919 192002551 119637798  41272692 
 89163215 210375873 168210540 232533711  12130452 152203662  26619254 178091333 
181987595 210375873 130143451 123340549  26575330 133845607  63528108 153660736 
115688574  54473832 181293971 198386746  66959925 135702231  45863618 211261469 
252308712 115000662  78671411 260680954 203642374 158789952 102432411 230958858 
131310789  61982416 103857286  55299661 126219244  56190251 132317799 110039846 
173636918  61982416 151692331 121540724  94247280 256244483 218728994 160092104 
 72442611  54473832 212741261 257356411 116700769 110551496 193084067 200018880 
173576413 115000662  13702724  18842906 112532803 149597669 240594517 165750940 
229603759 115000662 161026556 240671849  51677445 106612650  29515628 118926475 
244017645  61982416 103857286 260428728 100254891  51757354 177802790 115301309 
 78284808  54473832  19651323 246199936 186117997 224187687  27417471 168113209 
100916411  61982416 151692331  55230321 128326483 151270997 214997560 102788693 
154435026  61982416 114801433 258101182  64558329 263777069 188029773  43507310 
225044681  61982416 151692331 225742514 186117997  19052129 117815679 167581226 
139242918  54473832 212741261 202022987 126887577  55732356  59279997 248570457 
139598250  54473832 175834199 260680954  14777772 194848274  81619803  39105323 
109565023 200144036 246272594 122316367 237619649   8579766 249319350 257425800 
 53917854 200144036 155409623 130583741 166805541   8579766 197188817 165436452 
254844585 200144036 257438331 163118918 222770659  94982009 105532850 210465443 
178254427 210375873 168210540  91043044 237619649 252013187 262459774  78117326 
141644831 210375873 190175089   5635351 124407944  94982009  83602286 209765460 
216106110  54473832 212741261 121689166 237619649  19052129 122273675 268020795 
251962047 210375873 190175089  37802606  14777772 183909529 112170464 160152336 
203450180  54473832 106555121 176641637 126219244  55732356  38565547 100556339 
234821568 200144036 246272594 174535721  83657394   8579766  42464391 138607797 
178903326 210375873 190175089 221362895  78784375 224187687 225620754  33224935 

t1_join_column_index: 0
t2_join_column_index: 2

ADDR TABLE
Key: 223036787 rid1: 9 rid2: 1
Key: 223036787 rid1: 9 rid2: 2
Key: 170648106 rid1: 35 rid2: 3
Key: 130143451 rid1: 36 rid2: 4
Key: 171404862 rid1: 27 rid2: 5
Key: 257438331 rid1: 43 rid2: 6
Key: 33806622 rid1: 11 rid2: 7
Key: 151692331 rid1: 6 rid2: 8
Key: 51881900 rid1: 45 rid2: 9
Key: 106555121 rid1: 24 rid2: 10
Key: 168006172 rid1: 21 rid2: 11
Key: 190175089 rid1: 32 rid2: 12
Key: 19651323 rid1: 47 rid2: 13
Key: 223036787 rid1: 9 rid2: 14
Key: 13702724 rid1: 28 rid2: 15
Key: 171404862 rid1: 27 rid2: 16
Key: 51881900 rid1: 45 rid2: 17
Key: 33806622 rid1: 11 rid2: 18
Key: 141893427 rid1: 12 rid2: 19
Key: 161026556 rid1: 26 rid2: 20
Key: 190175089 rid1: 32 rid2: 21
Key: 51881900 rid1: 45 rid2: 22
Key: 168210540 rid1: 2 rid2: 23
Key: 181293971 rid1: 48 rid2: 24
Key: 19651323 rid1: 47 rid2: 25
Key: 171404862 rid1: 27 rid2: 26
Key: 78671411 rid1: 8 rid2: 27
Key: 151692331 rid1: 6 rid2: 28
Key: 190175089 rid1: 32 rid2: 29
Key: 170648106 rid1: 35 rid2: 30
Key: 212741261 rid1: 18 rid2: 31
Key: 170648106 rid1: 35 rid2: 32
Key: 155409623 rid1: 3 rid2: 33
Key: 223036787 rid1: 9 rid2: 34
Key: 51881900 rid1: 45 rid2: 35
Key: 168006172 rid1: 21 rid2: 36
Key: 103857286 rid1: 40 rid2: 37
Key: 51881900 rid1: 45 rid2: 38
Key: 212741261 rid1: 18 rid2: 39
Key: 168006172 rid1: 21 rid2: 40
Key: 141893427 rid1: 12 rid2: 41
Key: 181293971 rid1: 48 rid2: 42
Key: 151692331 rid1: 6 rid2: 43
Key: 103857286 rid1: 40 rid2: 44
Key: 51881900 rid1: 45 rid2: 45
Key: 33806622 rid1: 11 rid2: 46
Key: 103857286 rid1: 40 rid2: 47
Key: 212741261 rid1: 18 rid2: 48
Key: 257438331 rid1: 43 rid2: 49
Key: 190175089 rid1: 32 rid2: 50
Key: 103857286 rid1: 40 rid2: 51
Key: 168210540 rid1: 2 rid2: 52
Key: 141893427 rid1: 12 rid2: 53
Key: 246272594 rid1: 25 rid2: 54
Key: 141893427 rid1: 12 rid2: 55
Key: 161026556 rid1: 26 rid2: 56
Key: 171404862 rid1: 27 rid2: 57
Key: 212741261 rid1: 18 rid2: 58
Key: 212741261 rid1: 18 rid2: 59
Key: 33806622 rid1: 11 rid2: 60
Key: 106555121 rid1: 24 rid2: 61
Key: 168210540 rid1: 2 rid2: 62
Key: 171404862 rid1: 27 rid2: 63
Key: 246272594 rid1: 25 rid2: 64
Key: 212741261 rid1: 18 rid2: 65
Key: 168210540 rid1: 2 rid2: 66
Key: 246272594 rid1: 25 rid2: 67
Key: 33806622 rid1: 11 rid2: 68
Key: 181293971 rid1: 48 rid2: 69
Key: 33806622 rid1: 11 rid2: 70
Key: 190175089 rid1: 32 rid2: 71
Key: 141893427 rid1: 12 rid2: 72
Key: 246272594 rid1: 25 rid2: 73
Key: 19651323 rid1: 47 rid2: 74
Key: 168210540 rid1: 2 rid2: 75
Key: 130143451 rid1: 36 rid2: 76
Key: 181293971 rid1: 48 rid2: 77
Key: 78671411 rid1: 8 rid2: 78
Key: 103857286 rid1: 40 rid2: 79
Key: 151692331 rid1: 6 rid2: 80
Key: 212741261 rid1: 18 rid2: 81
Key: 13702724 rid1: 28 rid2: 82
Key: 161026556 rid1: 26 rid2: 83
Key: 103857286 rid1: 40 rid2: 84
Key: 19651323 rid1: 47 rid2: 85
Key: 151692331 rid1: 6 rid2: 86
Key: 114801433 rid1: 14 rid2: 87
Key: 151692331 rid1: 6 rid2: 88
Key: 212741261 rid1: 18 rid2: 89
Key: 175834199 rid1: 23 rid2: 90
Key: 246272594 rid1: 25 rid2: 91
Key: 155409623 rid1: 3 rid2: 92
Key: 257438331 rid1: 43 rid2: 93
Key: 168210540 rid1: 2 rid2: 94
Key: 190175089 rid1: 32 rid2: 95
Key: 212741261 rid1: 18 rid2: 96
Key: 190175089 rid1: 32 rid2: 97
Key: 106555121 rid1: 24 rid2: 98
Key: 246272594 rid1: 25 rid2: 99
Key: 190175089 rid1: 32 rid2: 100

HASH TABLE
